dt,node_num,incdec,bid_mw,clear_mw,profit,profit_congestion,node_name,rep_constraint,dfax,constraint_family_num,rep_dart,rep_pastyr_mvalue
2026-02-24,1715.0,Decrement,184.25,58.0,-622.83288,-196.08828000000003,CSWS.NUEN.SDM1,389634.0,-0.0132,146.0,DA,-13036.013671875
2026-02-27,492.0,Increment,22.1,21.9,207.00058,-43.17387000000001,OKGE.LES.ARBKL,721260.0,-0.03848,117.0,DA,-532.1990966796875
2026-02-27,492.0,Decrement,97.95,35.2,-71.06911999999998,13.773759999999978,OKGE.LES.ARBKL,781430.0,-0.02307,689.0,DA,-1560.131103515625
2026-02-27,492.0,Decrement,97.95,35.2,-71.06911999999998,13.773759999999978,OKGE.LES.ARBKL,567619.0,-0.02356,1224194.0,DA,-980.298828125
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,829139.0,-0.04072,581.0,DA,-718.2348022460938
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,471442.0,-0.05703,761.0,DA,-3186.795166015625
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,301143.0,-0.0456,1056.0,DA,-17545.869140625
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,653586.0,0.1223,40970.0,DA,-23809.01171875
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,318655.0,0.0246,519378.0,DA,-224.45309448242188
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,568514.0,-0.07138,1223840.0,DA,-4031.40869140625
2026-03-21,1455.0,Increment,246.8,67.2,3282.02584,2515.2988800000003,WAUE.BEPM.AURORA,753082.0,-0.0305,1226471.0,DA,-3361.1181640625
2026-05-08,113.0,Increment,415.505,273.4,13082.1845,12182.72977,CSWWELEETKA5,291796.0,0.02223,409.0,DA,-4026.162841796875
2026-05-08,734.0,Increment,250.5,51.2,1310.7520000000002,1372.0259199999998,WFEC_ANA_ORME_9,581.0,0.0252,951.0,DA,-2287.5869140625
2026-05-08,113.0,Increment,415.505,273.4,13082.1845,12182.72977,CSWWELEETKA5,649466.0,0.02251,449908.0,DA,-27008.64453125
2026-05-08,113.0,Increment,415.505,273.4,13082.1845,12182.72977,CSWWELEETKA5,443954.0,0.04836,915864.0,DA,-64.73079681396484
2026-05-08,113.0,Increment,415.505,273.4,13082.1845,12182.72977,CSWWELEETKA5,843239.0,0.02165,1223595.0,DA,-1933.9139404296875
2026-05-08,734.0,Increment,250.5,51.2,1310.7520000000002,1372.0259199999998,WFEC_ANA_ORME_9,853168.0,-0.02605,1226754.0,DA,-8419.435546875
2026-05-08,734.0,Increment,250.5,51.2,1310.7520000000002,1372.0259199999998,WFEC_ANA_ORME_9,679403.0,-0.02625,1468360.0,DA,-319.1965026855469
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,301044.0,-0.0291,880.0,RT,-2633.602294921875
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,283681.0,-0.0271,23524.0,RT,-13055.47265625
2021-06-25,1241.0,Decrement,181.5,12.6,-47.446560000000005,46.97478,WR.VOLT.0014,324075.0,-0.036,938.0,RT,-6390.36865234375
2021-06-25,1241.0,Decrement,181.5,12.6,-47.446560000000005,46.97478,WR.VOLT.0014,296493.0,-0.02141,116151.0,RT,-0.6894999742507933
2021-08-05,1299.0,Decrement,175.72,103.9,3964.57981,4238.478859999999,SPS.VOLT.0045,343347.0,0.0257,705.0,RT,-28891.3125
2021-09-05,1000.0,Increment,13.058,5.8,69.46764000000002,12.38652,MIDW.KACY.ALEX,293341.0,-0.0202,192.0,RT,-11055.6572265625
2021-09-05,1000.0,Increment,13.058,5.8,69.46764000000002,12.38652,MIDW.KACY.ALEX,383279.0,0.05592,982.0,RT,-73.9177017211914
2021-09-08,924.0,Increment,122.64,75.5,610.03611,403.39665,WAUE.MRES.WTRN,290179.0,-0.0171,146.0,RT,-49797.57421875
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,370493.0,0.0128,255.0,RT,-16936.662109375
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,408947.0,0.021,34192.0,RT,-221156.6875
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,412870.0,-0.07275,481207.0,RT,-1197.0672607421875
2022-04-22,1222.0,Increment,432.47665349235774,24.0,-4233.95052,-3743.30436,EDE.NORTHFORK,386260.0,0.077,154817.0,RT,-23106.9921875
2022-04-22,1222.0,Decrement,71.61344479031864,14.4,3726.95256,3846.35952,EDE.NORTHFORK,343560.0,0.02746,704807.0,RT,-54392.96875
2022-06-24,764.0,Increment,234.0,48.0,-202.44,-99.78528000000013,WR.GEEC.GT1,408947.0,-0.0116,34192.0,RT,-221156.6875
2022-06-24,764.0,Increment,234.0,48.0,-202.44,-99.78528000000013,WR.GEEC.GT1,304006.0,-0.0116,263248.0,RT,-27680.251953125
2022-07-17,735.0,Decrement,140.5,38.8,-561.1906399999999,-170.40508,WFEC_ANA_STEAM_PLANT,255318.0,-0.049,860.0,RT,-3075.694580078125
2022-08-11,1051.0,Increment,257.8,50.0,1474.27454,1876.52974,WAUE.OPPD.GRPR1,302466.0,-0.0196,150158.0,RT,-33256.86328125
2022-08-11,1051.0,Increment,257.8,50.0,1474.27454,1876.52974,WAUE.OPPD.GRPR1,305587.0,0.0193,383281.0,RT,-26352.90234375
2022-08-11,1051.0,Increment,257.8,50.0,1474.27454,1876.52974,WAUE.OPPD.GRPR1,498652.0,0.04499,1059475.0,RT,-3907.829345703125
2022-11-05,800.0,Increment,145.25,8.9,47.76736,7.967500000000002,WR.SHARPE.KEPC,457037.0,-0.0288,674923.0,RT,-9866.7099609375
2023-01-04,848.0,Increment,238.2,9.6,107.2668,54.993,KCPL.WAVERLYWND,546983.0,-0.0297,545032.0,RT,-7387.48681640625
2023-01-04,848.0,Increment,238.2,9.6,107.2668,54.993,KCPL.WAVERLYWND,472558.0,0.0242,603360.0,RT,-14770.021484375
2023-01-04,848.0,Increment,238.2,9.6,107.2668,54.993,KCPL.WAVERLYWND,377289.0,-0.0116,771296.0,RT,-24033.12109375
2023-01-08,1191.0,Increment,167.75,42.0,276.07584,78.01044000000003,SPS.GGPO.STOCKYARD10_11,298784.0,-0.02046,924.0,RT,-19149.513671875
2023-02-20,1432.0,Decrement,1196.0,632.0,5535.17604,-860.48612,OKGE.VOLT.0149,546983.0,-0.023,545032.0,RT,-7387.48681640625
2023-02-20,1432.0,Decrement,1196.0,632.0,5535.17604,-860.48612,OKGE.VOLT.0149,530503.0,-0.0147,1127662.0,RT,-7865.14013671875
2023-02-22,924.0,Decrement,528.125,139.9,2795.25466,-500.13538000000005,WAUE.MRES.WTRN,550852.0,0.0351,1072299.0,RT,-4840.16162109375
2023-03-15,1193.0,Increment,109.89586542086678,105.7,-6509.503229999999,-7677.8904699999985,SPS.GGPO.STOCKYARD5_6,356318.0,0.0114,755245.0,RT,-7944.33837890625
2023-03-30,1357.0,Increment,1114.997309768668,683.4,511.81206000000014,4330.10346,NPPD.TECH.1,150027.0,0.05472,421.0,RT,-6846.1103515625
2023-03-30,1357.0,Increment,1114.997309768668,683.4,511.81206000000014,4330.10346,NPPD.TECH.1,549643.0,0.0918,528147.0,RT,-6876.8642578125
