dt,constraint_family_num,dam,rtm
2025-05-04,1223945,-22.7559,0.0
2025-05-04,1224034,-189.336,0.0
2025-05-04,1224384,-12.1428,0.0
2025-05-04,1434909,0.0,-135.5882
2025-05-04,1662404,-24.5201,0.0
2025-05-04,1671070,-16.3063,0.0
2025-05-04,1671071,-2.5218,0.0
2025-05-04,1690494,-123.4685,0.0
2025-05-04,1697460,-12.605,0.0
2025-05-05,53,-63.556400000000004,-2.1789
2025-05-05,261,0.0,-208.6947
2025-05-05,350,-9.4088,0.0
2025-05-05,382,-780.3572,-207.7319
2025-05-05,383,-60.0412,-41.7558
2025-05-05,466,-18.5373,-232.66830000000002
2025-05-05,489,-2143.0789,-449.3257
2025-05-05,588,-61.9332,0.0
2025-05-05,666,-2.9344,0.0
2025-05-05,694,-11.175,0.0
2025-05-05,723,-135.4084,0.0
2025-05-05,854,-181.475,-5.9631
2025-05-05,884,-44.0886,-107.3468
2025-05-05,919,0.0,-270.3419
2025-05-05,974,-357.0547,-293.019
2025-05-05,989,-1.3802,0.0
2025-05-05,1064,-12.3087,0.0
2025-05-05,1087,-94.7747,0.0
2025-05-05,6299,0.0,-45.6686
2025-05-05,14969,-180.9116,-56.3341
2025-05-05,40970,-65.3276,0.0
2025-05-05,93430,0.0,-200.37529999999998
2025-05-05,156109,-193.70749999999998,-109.5598
2025-05-05,167423,-209.567,0.0
2025-05-05,274585,-398.03589999999997,0.0
2025-05-05,283171,-330.272,0.0
2025-05-05,411728,-60.5876,0.0
2025-05-05,515297,0.0,-730.1559
2025-05-05,515936,0.0,-248.4842
2025-05-05,603360,-1271.4749,0.0
2025-05-05,792695,0.0,-19.1343
2025-05-05,1121925,-1075.5301,0.0
2025-05-05,1223642,-16.6938,0.0
2025-05-05,1223800,-9.7062,0.0
2025-05-05,1223843,-12.3306,0.0
2025-05-05,1224034,-46.504099999999994,0.0
2025-05-05,1224172,-76.6432,0.0
2025-05-05,1224384,-27.3312,0.0
